,wine,rating,price
0,La Playa Estate Series Cabernet Sauvignon 2018,3.4,9.99
24,Confidencial Tinto 2016,3.7,9.99
23,Cupcake Merlot 2017,3.3,9.99
22,Line 39 Sauvignon Blanc 2018,3.6,9.99
21,Santa Julia [+] (Plus) Cabernet Sauvignon 2019,3.3,9.99
20,Glenbrook Chardonnay 2017,3.9,9.99
19,Bulletin Place Cabernet Sauvignon 2018,3.4,9.99
17,Bodegas Aragonesas Don Ramón Pérez Juan 2018,3.8,9.99
16,Cousiño-Macul Cabernet Sauvignon 2017,3.6,9.99
15,Voga Pinot Grigio 2015,3.6,9.99
14,Paltrinieri Piria 2016,3.7,9.99
13,Trinity Oaks Pinot Noir 2018,3.2,9.99
18,Chateau Souverain Cabernet Sauvignon 2017,3.6,9.99
11,Alfredo Roca Chenin - Chardonnay Roca 2017,3.3,9.99
12,Anakena Cabernet Sauvignon 2013,3.1,9.99
2,Riff Pinot Grigio 2019,3.5,9.99
3,Bodegas Faustino VII Bianco 2016,3.4,9.99
4,Kris Limited Release Rosé 2018,3.7,9.99
5,Baron de Ley Rioja Rosado 2018,3.6,9.99
1,Trapiche Oak Cask Malbec 2019,3.7,9.99
7,Casillero del Diablo Malbec (Reserva) 2019,3.6,9.99
8,Columbia Crest Grand Estates Cabernet Sauvignon 2017,3.8,9.99
9,Monkey Bay Sauvignon Blanc 2018,3.4,9.99
10,Château La Mothe du Barry Entre-Deux-Mers 2018,3.8,9.99
6,Viña Bujanda Tempranillo 2018,3.3,9.99
39,19 Crimes Sauvignon Block 2019,3.6,10.99
40,Cycles Gladiator Pinot Noir 2018,3.7,10.99
41,Era Montepulciano d'Abruzzo 2018,3.6,10.99
42,Carnivor Cabernet Sauvignon 2017,3.7,10.99
43,Chateau Souverain Cabernet Sauvignon 2018,3.7,10.99
46,Cupcake Chardonnay 2017,3.3,10.99
45,Mirassou Chardonnay 2015,3.5,10.99
47,Leese-Fitch Cabernet Sauvignon 2017,3.7,10.99
48,Milestone Cabernet Sauvignon 2018,3.7,10.99
49,MAN Pinotage (Bosstok) 2018,3.7,10.99
44,Cono Sur Bicicleta Pinot Noir 2018,3.2,10.99
38,Gnarly Head Chardonnay 2017,3.4,10.99
34,Sacchetto 071 Prosecco,3.6,10.99
36,DeLoach Heritage Reserve Chardonnay 2019,3.7,10.99
37,Collier Creek Big Rooster Cabernet Sauvignon 2016,3.5,10.99
25,Yalumba The Y Series Sauvignon Blanc 2019,3.6,10.99
26,Tiziano Chianti 2017,3.7,10.99
28,Alamos Red Blend 2018,3.8,10.99
29,Mirassou Pinot Grigio 2018,3.7,10.99
27,Famille Perrin Réserve Côtes du Rhône Rosé 2018,3.7,10.99
31,Baron de Ley Blanco 2016,3.4,10.99
32,14 Hands Riesling 2014,3.6,10.99
33,Château Haut Rian Bordeaux Blanc 2019,3.7,10.99
35,Bogle Pinot Noir 2014,3.5,10.99
30,Duorum Tons de Duorum Tinto 2017,3.6,10.99
50,Fernlands Sauvignon Blanc 2019,4.2,11.958333333333334
51,Dashwood Sauvignon Blanc 2020,3.9,11.958333333333334
52,Bonterra Chardonnay 2019,3.7,11.958333333333334
59,Viña Zaco Tempranillo (Crianza) 2017,3.8,11.97
62,Louis Jadot Beaujolais-Villages 2019,3.7,11.97
61,Louis Jadot Mâcon-Villages Blanc 2019,3.8,11.97
60,Carpineto Dogajolo Toscana Bianco 2018,3.5,11.97
58,Stella Rosa Black,3.9,11.97
